ds,yhat,horizon_index
2019-10-09,5.31076,0
2019-10-10,5.371727,1
2019-10-11,5.2626038,2
2019-10-12,5.286153,3
2019-10-13,5.240934,4
2019-10-14,5.2591276,5
2019-10-15,5.3567038,6
2019-10-16,5.2904444,7
2019-10-17,5.3075914,8
2019-10-18,5.267878,9
2019-10-19,5.2309804,10
2019-10-20,5.4025373,11
2019-10-21,5.2619324,12
2019-10-22,5.266944,13
2019-10-23,5.223235,14
2019-10-24,5.3614855,15
2019-10-25,5.2658596,16
2019-10-26,5.2193303,17
2019-10-27,5.170741,18
2019-10-28,5.2373767,19
2019-10-29,5.199442,20
2019-10-30,5.3811564,21
2019-10-31,5.350718,22
2019-11-01,5.4839787,23
2019-11-02,5.3986855,24
2019-11-03,5.3697653,25
2019-11-04,5.4637733,26
2019-11-05,5.275233,27
2019-11-06,5.245818,28
2019-11-07,5.2983527,29
