ds,yhat,horizon_index
2019-10-09,3.8351135,0
2019-10-10,3.8591852,1
2019-10-11,3.879286,2
2019-10-12,3.948571,3
2019-10-13,3.876671,4
2019-10-14,3.9087207,5
2019-10-15,3.9500303,6
2019-10-16,3.820566,7
2019-10-17,3.9052918,8
2019-10-18,3.7406113,9
2019-10-19,3.904159,10
2019-10-20,3.9674027,11
2019-10-21,3.8689532,12
2019-10-22,3.8365662,13
2019-10-23,3.8498583,14
2019-10-24,3.8883424,15
2019-10-25,3.9244523,16
2019-10-26,3.8341038,17
2019-10-27,3.8342535,18
2019-10-28,3.889268,19
2019-10-29,3.8534372,20
2019-10-30,3.8528402,21
2019-10-31,3.9209378,22
2019-11-01,3.918033,23
2019-11-02,3.8752975,24
2019-11-03,3.9789598,25
2019-11-04,3.8903198,26
2019-11-05,3.9585836,27
2019-11-06,3.8184938,28
2019-11-07,3.871061,29
