ds,yhat,horizon_index
2019-10-09,2.9545264,0
2019-10-10,2.9268374,1
2019-10-11,3.1633215,2
2019-10-12,3.1587706,3
2019-10-13,3.0266747,4
2019-10-14,2.617222,5
2019-10-15,3.422536,6
2019-10-16,3.2869222,7
2019-10-17,2.5153813,8
2019-10-18,2.873193,9
2019-10-19,3.2452698,10
2019-10-20,3.185821,11
2019-10-21,2.9142795,12
2019-10-22,3.131465,13
2019-10-23,3.0756435,14
2019-10-24,2.920117,15
2019-10-25,3.50402,16
2019-10-26,3.1016412,17
2019-10-27,3.1942692,18
2019-10-28,3.0848763,19
2019-10-29,3.017789,20
2019-10-30,2.87211,21
2019-10-31,2.9635088,22
2019-11-01,2.6960814,23
2019-11-02,3.0758927,24
2019-11-03,2.98083,25
2019-11-04,3.0942478,26
2019-11-05,3.181538,27
2019-11-06,3.353963,28
2019-11-07,3.1437387,29
