ds,yhat,horizon_index
2019-10-09,41.54064,0
2019-10-10,40.10125,1
2019-10-11,41.020546,2
2019-10-12,41.48895,3
2019-10-13,40.383526,4
2019-10-14,39.745678,5
2019-10-15,40.298763,6
2019-10-16,40.01873,7
2019-10-17,41.715267,8
2019-10-18,40.96082,9
2019-10-19,40.254158,10
2019-10-20,37.74913,11
2019-10-21,38.965565,12
2019-10-22,39.365532,13
2019-10-23,38.831917,14
2019-10-24,38.88049,15
2019-10-25,38.747112,16
2019-10-26,40.404686,17
2019-10-27,38.9974,18
2019-10-28,38.71665,19
2019-10-29,37.70392,20
2019-10-30,37.482544,21
2019-10-31,36.812824,22
2019-11-01,39.11704,23
2019-11-02,36.52359,24
2019-11-03,36.10785,25
2019-11-04,37.7396,26
2019-11-05,35.665363,27
2019-11-06,35.810444,28
2019-11-07,37.384132,29
