ds,yhat,horizon_index
2019-10-09,8.577109,0
2019-10-10,8.760002,1
2019-10-11,8.556496,2
2019-10-12,8.254902,3
2019-10-13,8.821506,4
2019-10-14,8.50328,5
2019-10-15,8.360946,6
2019-10-16,8.33505,7
2019-10-17,8.312862,8
2019-10-18,8.327705,9
2019-10-19,8.731448,10
2019-10-20,8.712765,11
2019-10-21,8.287858,12
2019-10-22,8.899525,13
2019-10-23,8.42607,14
2019-10-24,8.169509,15
2019-10-25,8.696948,16
2019-10-26,8.197746,17
2019-10-27,8.768365,18
2019-10-28,8.814142,19
2019-10-29,8.422364,20
2019-10-30,8.857954,21
2019-10-31,8.623276,22
2019-11-01,9.080677,23
2019-11-02,8.741715,24
2019-11-03,8.703573,25
2019-11-04,8.652461,26
2019-11-05,8.449885,27
2019-11-06,8.501445,28
2019-11-07,8.46331,29
