ds,yhat,horizon_index
2019-10-09,0.5581131,0
2019-10-10,0.5565005,1
2019-10-11,0.5721484,2
2019-10-12,0.48643172,3
2019-10-13,0.5864777,4
2019-10-14,0.5213446,5
2019-10-15,0.627929,6
2019-10-16,0.5523395,7
2019-10-17,0.47126207,8
2019-10-18,0.60243714,9
2019-10-19,0.48791152,10
2019-10-20,0.56238276,11
2019-10-21,0.5299714,12
2019-10-22,0.61895955,13
2019-10-23,0.5122421,14
2019-10-24,0.5767528,15
2019-10-25,0.44177237,16
2019-10-26,0.5829514,17
2019-10-27,0.6534107,18
2019-10-28,0.5222529,19
2019-10-29,0.5566677,20
2019-10-30,0.5084263,21
2019-10-31,0.51822424,22
2019-11-01,0.5647996,23
2019-11-02,0.4849449,24
2019-11-03,0.5453166,25
2019-11-04,0.49699065,26
2019-11-05,0.57980114,27
2019-11-06,0.6764284,28
2019-11-07,0.5835292,29
