ds,yhat,horizon_index
2019-10-09,2.7586346,0
2019-10-10,2.8800893,1
2019-10-11,2.883938,2
2019-10-12,2.8048034,3
2019-10-13,2.7782996,4
2019-10-14,2.721889,5
2019-10-15,2.775262,6
2019-10-16,2.6827374,7
2019-10-17,2.5786214,8
2019-10-18,2.5941327,9
2019-10-19,2.5824652,10
2019-10-20,2.5187259,11
2019-10-21,2.6231177,12
2019-10-22,2.4286714,13
2019-10-23,2.6099055,14
2019-10-24,2.568278,15
2019-10-25,2.3802733,16
2019-10-26,2.4841325,17
2019-10-27,2.3397465,18
2019-10-28,2.4431512,19
2019-10-29,2.4204323,20
2019-10-30,2.465864,21
2019-10-31,2.4957435,22
2019-11-01,2.4092805,23
2019-11-02,2.56837,24
2019-11-03,2.4615586,25
2019-11-04,2.431553,26
2019-11-05,2.340622,27
2019-11-06,2.2690306,28
2019-11-07,2.363488,29
