date,product,actual_sales
2019-10-09,M01AB,11.34
2019-10-10,M01AB,5.18
2019-10-11,M01AB,5.0
2019-10-12,M01AB,7.34
2019-10-13,M01AB,3.84
2019-10-14,M01AB,4.0
2019-10-15,M01AB,7.34
2019-10-16,M01AB,0.33
2019-10-17,M01AB,5.0
2019-10-18,M01AB,3.84
2019-10-19,M01AB,4.0
2019-10-20,M01AB,7.34
2019-10-21,M01AB,0.33
2019-10-22,M01AB,5.0
2019-10-23,M01AB,3.84
2019-10-24,M01AB,4.0
2019-10-25,M01AB,7.34
2019-10-26,M01AB,0.33
2019-10-27,M01AB,5.0
2019-10-28,M01AB,3.84
2019-10-29,M01AB,4.0
2019-10-30,M01AB,7.34
2019-11-01,M01AB,0.33
2019-11-02,M01AB,5.0
2019-11-03,M01AB,3.84
2019-11-04,M01AB,4.0
2019-11-05,M01AB,7.34
2019-11-06,M01AB,0.33
2019-11-07,M01AB,5.0
